Time,Ch1_Voltage,Ch2_Voltage
20.45724588,1.33945700,0.72777490
20.78492587,2.05389600,0.74568930
21.11260587,2.67922000,0.76363410
21.44028587,3.30454400,0.76363410
21.76796587,3.84044900,0.76363410
22.09564587,4.37635400,0.73674730
22.42332586,4.91225900,0.70088810
22.75100586,5.35905000,0.64711450
23.07868586,5.80553600,0.58439890
23.40636586,6.16290800,0.50373850
23.73404586,6.52027900,0.41413620
24.06172585,6.69881300,0.31556140
24.38940585,6.87734600,0.20801420
24.71708585,7.05618500,0.10046690
25.04476585,7.05618500,0.00192267
25.37244585,6.87734600,-0.06079287
25.70012584,6.69881300,-0.10559400
26.02780584,6.34144100,-0.15042570
26.35548584,5.98437500,-0.18625450
26.68316584,5.53758300,-0.23105560
27.01084584,5.09109800,-0.27588730
27.33852583,4.55519300,-0.32963040
27.66620583,4.01898200,-0.37446210
27.99388583,3.39396300,-0.41926330
28.32156583,2.76863900,-0.46406440
28.64924583,2.14331500,-0.51783810
28.97692582,1.42887700,-0.55369730
29.30460582,0.80355230,-0.59849850
29.63228582,0.08880886,-0.64329960
29.95996582,-0.62532420,-0.67912840
30.28764582,-1.34006800,-0.71498760
30.61532581,-1.96539200,-0.74187450
30.94300581,-2.59041100,-0.75978880
31.27068581,-3.21573500,-0.75978880
31.59836581,-3.75164000,-0.75978880
31.92604581,-4.28785000,-0.74187450
32.25372580,-4.82375600,-0.71498760
32.58140580,-5.27024100,-0.66121410
32.90908580,-5.71703200,-0.59849850
33.23676580,-5.98498500,-0.52681050
33.56444580,-6.34205200,-0.44615010
33.89212579,-6.61000400,-0.34757530
34.21980579,-6.78884200,-0.24002810
34.54748579,-6.87795600,-0.13248080
34.87516579,-6.87795600,-0.03390606
35.20284579,-6.78884200,0.03775140
35.53052578,-6.61000400,0.09152501
35.85820578,-6.34205200,0.12735370
36.18588578,-5.98498500,0.17215490
36.51356578,-5.62761300,0.21698660
36.84124578,-5.18082200,0.27072970
37.16892577,-4.64491700,0.30658890
37.49660577,-4.10901200,0.36036260
37.82428577,-3.57310700,0.40516370
38.15196577,-2.94778300,0.45893730
38.47964577,-2.23334500,0.50373850
38.80732576,-1.51860100,0.55751210
39.13500576,-0.89327680,0.60231330
39.46268576,-0.17883850,0.64711450
39.79036576,0.44618060,0.68297370
40.11804576,1.16061900,0.70986050
40.44572575,1.78594300,0.74568930
40.77340575,2.41126800,0.76363410
41.10108575,3.03659200,0.76363410
41.42876575,3.66191600,0.77257610
41.75644575,4.28724000,0.74568930
42.08412574,4.73372600,0.71880250
42.41180574,5.26963100,0.66505930
42.73948574,5.62700300,0.60231330
43.06716574,6.07348900,0.53062530
43.39484574,6.34144100,0.44996490
43.72252573,6.60939400,0.35139010
44.05020573,6.87734600,0.25281530
44.37788573,7.05618500,0.13632620
44.70556573,7.05618500,0.02877896
45.03324573,6.87734600,-0.04287850
45.36092572,6.69881300,-0.08767968
45.68860572,6.43086100,-0.13248080
46.01628572,6.16290800,-0.16834010
46.34396572,5.80553600,-0.22211370
46.67164572,5.26963100,-0.25794240
46.99932571,4.82314500,-0.30277410
47.32700571,4.19782100,-0.34757530
47.65468571,3.66191600,-0.40134890
47.98236571,3.03659200,-0.44615010
48.31004571,2.41126800,-0.49095130
48.63772570,1.69682900,-0.54472490
48.96540570,0.98208560,-0.58055360
49.29308570,0.35676140,-0.62538530
49.62076570,-0.35737170,-0.67018650
49.94844570,-1.07211500,-0.70601520
50.27612569,-1.69744000,-0.73290200
50.60380569,-2.41187800,-0.75978880
